platform,job,algorithm,dataset,run,success,load_time,makespan,processing_time
GraphBLAS Intel Xeon Gold 6342,j703802,CDLP,graph500-22,r833895,true,35.755,18.983,15.456
GraphBLAS Intel Xeon Gold 6342,j920512,BFS,datagen-7_6-fb,r736900,true,23.964,1.52,0.051
GraphBLAS Intel Xeon Gold 6342,j641076,WCC,wiki-Talk,r908417,true,4.264,3.196,0.203
GraphBLAS Intel Xeon Gold 6342,j898427,WCC,datagen-7_7-zf,r472822,true,24.528,13.809,0.198
GraphBLAS Intel Xeon Gold 6342,j852545,LCC,datagen-7_8-zf,r665150,true,30.278,23.12,0.891
GraphBLAS Intel Xeon Gold 6342,j835720,WCC,datagen-7_5-fb,r907651,true,19.884,1.322,0.085
GraphBLAS Intel Xeon Gold 6342,j760399,CDLP,datagen-7_6-fb,r726413,true,23.964,12.152,10.609
GraphBLAS Intel Xeon Gold 6342,j568942,PR,dota-league,r639622,true,26.167,0.826,0.101
GraphBLAS Intel Xeon Gold 6342,j784843,PR,kgs,r708451,true,11.036,1.887,0.189
GraphBLAS Intel Xeon Gold 6342,j506073,PR,datagen-7_5-fb,r802871,true,19.884,1.81,0.209
GraphBLAS Intel Xeon Gold 6342,j864689,CDLP,datagen-7_9-fb,r525427,true,46.743,21.311,18.487
GraphBLAS Intel Xeon Gold 6342,j473854,LCC,wiki-Talk,r621391,true,4.264,4.167,0.435
GraphBLAS Intel Xeon Gold 6342,j824383,CDLP,datagen-7_7-zf,r735317,true,24.528,26.56,12.134
GraphBLAS Intel Xeon Gold 6342,j744741,PR,wiki-Talk,r488000,true,4.264,4.29,0.205
GraphBLAS Intel Xeon Gold 6342,j812678,SSSP,datagen-7_8-zf,r540035,true,38.906,25.624,2.662
GraphBLAS Intel Xeon Gold 6342,j764651,BFS,kgs,r563720,true,11.036,1.347,0.04
GraphBLAS Intel Xeon Gold 6342,j742005,PR,graph500-22,r888565,true,35.755,4.536,0.218
GraphBLAS Intel Xeon Gold 6342,j870026,SSSP,datagen-7_7-zf,r624966,true,32.492,20.469,2.117
GraphBLAS Intel Xeon Gold 6342,j590465,SSSP,dota-league,r667650,true,36.902,1.855,0.572
GraphBLAS Intel Xeon Gold 6342,j708887,SSSP,kgs,r484729,true,14.92,2.436,0.611
GraphBLAS Intel Xeon Gold 6342,j908915,WCC,graph500-22,r913374,true,35.755,3.829,0.173
GraphBLAS Intel Xeon Gold 6342,j488179,BFS,datagen-7_9-fb,r571421,true,46.743,2.673,0.058
GraphBLAS Intel Xeon Gold 6342,j653202,CDLP,datagen-7_5-fb,r599698,true,19.884,9.699,8.407
GraphBLAS Intel Xeon Gold 6342,j739961,BFS,datagen-7_5-fb,r572741,true,19.884,1.32,0.031
GraphBLAS Intel Xeon Gold 6342,j628707,PR,datagen-7_6-fb,r662785,true,23.964,2.069,0.229
GraphBLAS Intel Xeon Gold 6342,j656353,WCC,datagen-7_9-fb,r921815,true,46.743,2.912,0.112
GraphBLAS Intel Xeon Gold 6342,j733429,CDLP,kgs,r764894,true,11.036,5.624,4.314
GraphBLAS Intel Xeon Gold 6342,j604911,BFS,graph500-22,r865064,true,35.755,3.471,0.062
GraphBLAS Intel Xeon Gold 6342,j581553,PR,datagen-7_8-zf,r563572,true,30.278,22.854,0.355
GraphBLAS Intel Xeon Gold 6342,j492592,SSSP,datagen-7_6-fb,r490953,true,34.553,3.011,0.615
GraphBLAS Intel Xeon Gold 6342,j855835,LCC,datagen-7_9-fb,r480333,true,46.743,7.49,4.52
GraphBLAS Intel Xeon Gold 6342,j812101,BFS,datagen-7_8-zf,r778027,true,30.278,17.027,0.172
GraphBLAS Intel Xeon Gold 6342,j700233,WCC,dota-league,r758016,true,26.167,0.67,0.016
