Position	Size	Platform	Environment name	Pricing (USD)	Mean makespan (s)	Mean processing time (s)	Makespan throughput per dollar	Processing throughput per dollar	Minimum runs per workload item
1	S	libgrape-gpu	ecs.ebmgn7e.32xlarge	456697.0	421.6507844369878	396.46312169318895	0.07403002618882921	54.24365585546214	3
2	S	libgrape-lite	ecs.r7.16xlarge	72328.41000000002	9.50868917016125	0.36964946914040464	1.4540201696947677	37.402531303301224	3
3	S	GraphBLAS Intel Xeon Gold 6342	bare metal, dedicated server	15354.81	10.399714291095732	3.62059920873966	6.262303979394216	17.9876778497011	1
4	S	GraphBLAS Intel Xeon Platinum 8369	bare metal, dedicated server	51826.0	2.461759266478044	1.2269259306981608	7.838026508477464	15.726568251080385	3
5	S	Geacompute	ecs.c8i.24xlarge / ecs.c8a.48xlarge	217609.99333333332	390.4535337267492	388.5859920622574	2.6920403307717677	9.87679813866068	3
1	M	libgrape-gpu	ecs.ebmgn7e.32xlarge	456697.0	85.90522732204859	0.058968254440419726	0.02548896786853155	37.132446936562395	3
2	M	libgrape-lite	ecs.r7.16xlarge	114656.82000000002	17.73021590520465	0.34281745807282515	0.4919104893045268	25.441175692841664	3
3	M	GraphBLAS Intel Xeon Gold 6342	bare metal, dedicated server	15354.81	33.60380956899552	11.075042738055897	1.9380591970078362	5.880444322431922	1
4	M	GraphBLAS Intel Xeon Platinum 8369	bare metal, dedicated server	51826.0	7.260533332446266	3.627693639568512	2.657564328217724	5.318898535886285	3
5	M	Geacompute	ecs.c8i.24xlarge / ecs.c8a.48xlarge	309472.61333333334	630.1711444463523	627.1277313475946	0.9909669644335901	5.169928349348518	3
1	L	libgrape-gpu	ecs.ebmgn7e.32xlarge	456697.0	66.54782009831182	0.13210370330726381	0.03290319015282278	16.575126390345456	3
2	L	libgrape-lite	ecs.r7.16xlarge	199308.88	34.64955007941635	0.5583018536300018	0.14480239718530577	8.986783547770345	3
3	L	Geacompute	ecs.c8i.24xlarge / ecs.c8a.48xlarge	457058.18333333335	6.303635162777371	0.7895944398931332	0.42819351681058565	2.2749102612666317	3
4	L	GraphBLAS Intel Xeon Gold 6342	bare metal, dedicated server	15354.81	104.82473337915208	30.556466694176198	0.6212863137379009	2.1313384443792445	1
5	L	GraphBLAS Intel Xeon Platinum 8369	bare metal, dedicated server	51826.0	20.90013156952681	9.92257413023876	0.9232159292374158	1.9445895928701573	3
1	XL	libgrape-gpu	ecs.ebmgn7e.32xlarge	456697.0	150.75430704046178	0.5500092586640406	0.01452453082062131	3.98108858070711	3
2	XL	libgrape-lite	ecs.r7.16xlarge	199308.88	77.63423705984046	2.421894446974276	0.06462790262271048	2.07165837436064	3
3	XL	GraphBLAS Intel Xeon Platinum 8369	bare metal, dedicated server	51826.0	79.75135573634394	49.712964666855555	0.24194365362182496	0.3881348561175122	3
4	XL	Geacompute	ecs.c8i.24xlarge / ecs.c8a.48xlarge	1460782.2533333332	4744.767676639075	4736.276379884549	0.06786866310808207	0.25737974080294396	3
5	XL	GraphBLAS Intel Xeon Gold 6342			21600.0	21600.0			3
1	2XL+	libgrape-gpu	ecs.ebmgn7e.32xlarge	456697.0	6956.051069895427	6752.781805552387	0.00845385169752742	0.5926625200820954	3
2	2XL+	libgrape-lite	ecs.r7.16xlarge	199308.88	163.73483408821951	27.208819550772514	0.030643069575460476	0.18440116093714687	3
3	2XL+	GraphBLAS Intel Xeon Platinum 8369	bare metal, dedicated server	51826.0	1830.2140543195935	1739.891328708993	0.03245135131455207	0.038475449878024426	3
4	2XL+	Geacompute	ecs.c8i.24xlarge / ecs.c8a.48xlarge	2204702.8799999994	33.26231404278013	19.43902795546585	0.013976145728287738	0.02356341276007922	3
5	2XL+	GraphBLAS Intel Xeon Gold 6342			32400.0	32400.0			3
