size	platform	time	pricing	throughput_per_dollar
S	GraphBLAS Intel Xeon Gold 6342	3.6786585386115602	15354.81	17703.782916006207
S	libgrape-lite	0.3770569087861758	696041.64	3810.288637296849
S	libgrape-gpu	395.15708943096377	49242.82	51.39102812728585
S	Geacompute	395.3190081288065	99430.2	25.440988988179186
M	libgrape-gpu	0.06135000050223123	49242.82	331011.0665264706
M	GraphBLAS Intel Xeon Gold 6342	11.434774875454604	15354.81	5695.448567989629
M	libgrape-lite	0.35502499764164286	696041.64	4046.7450593786634
M	Geacompute	675.3504458315981	99430.2	14.891981777310804
L	libgrape-gpu	0.13508571388111232	49242.82	150330.69385498113
L	Geacompute	0.8042857095244387	99430.2	12504.64407551094
L	libgrape-lite	0.569819049430745	696041.64	2521.319104016465
L	GraphBLAS Intel Xeon Gold 6342	31.078942885569163	15354.81	2095.507959504364
XL	libgrape-gpu	0.5832321422307619	49242.82	34818.947083352235
XL	libgrape-lite	2.5682083361427344	696041.64	559.4155407656898
XL	GraphBLAS Intel Xeon Gold 6342	21600.0	15354.81	3.0151005643375783
XL	Geacompute	5016.300261907634	99430.2	2.0049251455291115
2XL+	Geacompute	22.07136527602635	99430.2	455.6721528933695
2XL+	libgrape-lite	30.96069853362583	696041.64	46.403851437714565
2XL+	libgrape-gpu	7717.427634917376	49242.82	2.6313857490236745
2XL+	GraphBLAS Intel Xeon Gold 6342	32400.0	15354.81	2.0100670428917193
